subject_id,AIC_onekonebeta,AIC_onektwobetamodel,AIC_twokonebetamodel,AIC_twoktwobetamodel
155,42.6833939796043,62.9895751778207,44.6833939795633,64.9895718976662
548,24.7944186560601,47.5888947740219,26.7944186577512,49.5889108591594
1126,32.4426432344317,52.3765396767301,34.4426432345095,54.3765396766733
1363,60.4580887776232,62.3941721617723,62.458073577757,64.3941745640086
1499,59.8597619325009,68.1465278618956,59.2708082903259,70.1465278618956
1867,68.4869723891774,71.1578624630555,71.155835132633,73.1573356050946
2397,43.0970243557213,56.1202452374958,45.3761912544004,58.1202452374957
2690,49.8692627569091,65.3052355569766,49.2985877482212,67.3052355569765
2803,46.9311661275162,52.5933524979604,60.1817469780344,54.5933524990945
2854,26.1807260147529,50.3614355732338,28.1807256688183,52.3614987527906
2899,52.8806888390876,62.8396272556241,54.3996406880659,64.8392849349777
2959,54.6636648258759,65.3790946005917,54.8994698520832,67.3790949839224
2998,60.7387516763869,68.752258307211,54.8848985123678,70.7522583072111
3472,26.1807259797115,48.9752072600132,28.1807130688725,50.9751842342479
3624,40.0108195824007,55.6848445294301,45.5487786227643,57.6848445294302
4164,50.4662088984128,43.4299637202828,52.4662088983854,45.4299664273979
4231,51.9587481092661,66.9498213961229,53.9587481092019,68.9498237960887
4920,26.1807460671548,48.9751347690912,28.1807265087372,50.975141194485
5113,68.9001967403019,53.617173561333,35.4296095769592,55.6171735613332
5156,37.3475302159133,58.9564185685757,39.3471054312953,60.9564179294131
5495,51.7303285126021,65.3993078728354,51.8602736461746,67.3993078728355
5654,59.8206203250967,61.5214323664131,46.8026595147119,63.5214323664131
5918,54.034964481634,52.5933517379666,49.6780956544233,54.5933556979291
6055,44.7570013645653,61.7682210437479,46.7570045645151,63.7682210422786
6121,26.1807259846122,50.3614493320595,28.1807170040674,52.3614222593897
6335,38.7337453775227,60.3427161873303,40.7337453775742,62.3427129297545
6397,26.18072597599,48.9751259939114,28.1807259558605,50.9751411782258
6495,39.8582226259129,60.0365779425783,41.8581434273189,62.0365779345645
6604,26.1807260147529,50.3614355732338,28.1807256688183,52.3614987527906
6644,68.7667156114591,72.1273733651104,71.7279866186087,74.1273733651105
7656,64.9791160658816,62.0741344388924,51.4457345313197,64.0741376315164
7772,47.1608940405625,57.1854966609554,49.1608940328909,59.1854973009526
7803,69.3894024671249,69.8489120690243,70.8810586362795,71.8489120690244
7927,24.794431614944,47.588846846146,26.7944187815958,49.589236815685
8704,42.3771322527913,60.8714272506316,42.5927216251964,62.8714272506315
8949,58.5452522041645,66.86861163605,59.7725088758188,68.86861163605
8987,24.7944316152101,48.9751411946323,26.7944186705011,50.9751283626207
9045,37.1689925216157,57.8410267050194,36.8354980745211,59.8410267050194
9203,26.1807260147529,50.3614355732338,28.1807256688183,52.3614987527906
9350,26.1807260147529,50.3614355732338,28.1807256688183,52.3614987527906
9779,56.1228850408694,67.1612962100189,57.546195206463,69.1612962100195
