subject_id,NLL_onekonebeta,NLL_onektwobetamodel,NLL_twokonebetamodel,NLL_twoktwobetamodel
332,20.7913427567779,29.0782087180665,20.791342895724,29.0782071180674
849,10.397215795354,20.1012698359258,10.3972115270091,20.1013315464232
893,11.0903630073764,22.1807177866169,11.0903628344091,22.1807493763953
974,17.2305814177322,21.6835398372931,18.4694062572231,21.6835398372932
1019,31.7820504636139,25.9629607099372,19.4282923060575,25.9629607099372
1083,26.4870965412274,29.7089274425421,27.0733762065102,29.7089274425421
1252,26.0614422004356,29.232124975886,26.0614425204587,29.2321249736395
1423,11.0903629868667,21.4875638056701,11.0903565753438,21.4875692944195
1870,27.0575189054594,26.1093341588863,21.4686545248887,26.1093342232843
2411,17.7369866548502,21.5832444862413,17.7369866548471,21.5832448062537
2431,22.9875764825144,29.8935117562491,22.9529933348082,29.8935118202487
3103,18.3486991108367,27.0315529275718,17.2341977205105,27.0315529275719
3178,20.3785006822858,26.4782108842878,20.3785006822813,26.478210884288
3210,18.5231215018071,27.6249083628209,18.5231218218067,27.6249083628576
3228,17.3543561952642,25.306308721814,17.3543561952642,25.3063087218057
3771,20.8377686222755,26.2858974312318,20.8377690022774,26.2858958310442
3928,15.0034873045652,18.7149757481505,15.0034873045575,18.7149828222061
4241,13.3686953495303,18.7149818746584,13.3686953495436,18.715088564483
4625,29.4375838012072,29.8053294043312,29.8053291640743,29.8053359436425
4961,14.8968613688515,22.7178371321579,14.896861370892,22.7178371321666
5096,11.0903630073764,22.1807177866169,11.0903628344091,22.1807493763953
5273,16.66124861444,24.6131613412404,16.6612086947062,24.6131615413351
5822,11.0903630073764,22.1807177866169,11.0903628344091,22.1807493763953
5835,7.62462708007823,17.3292561942544,7.62461908649182,17.3286864034018
6246,32.5476330123603,27.1984755650446,21.1458989965322,27.1984755650445
6324,24.3463027522897,28.8437541158137,21.839762646056,28.8437541158136
6332,32.1542113808118,32.000838529642,29.5228474162977,32.0008401136312
6469,21.5709606632105,27.9513615720224,20.9522562280878,27.9513615720224
6707,9.70406054481242,20.101269837643,9.70406438482805,20.1012710990871
7047,7.62462529049101,17.3287195559089,7.62462708403219,17.3286875235586
7107,21.9704421367318,27.8453616708314,21.9704423175291,27.8453613508309
7389,13.4444978094181,20.794423413124,13.4444981894201,20.7944158868188
7512,9.01091375232914,18.0218347086974,9.01091376210315,18.021832793483
7875,9.70406861722888,20.7944234197202,9.70406092788988,20.7944229814219
7937,13.5035944151468,23.9200159606828,13.5035944151667,23.9200159606842
8228,31.1839777150544,33.1471997931965,30.0971904254638,33.1471997931965
8251,17.3668723687507,27.1713564648525,17.366872688788,27.1713564670551
8604,9.70406222590509,19.4081226548937,9.70406386552398,19.4083240234432
8925,30.102487801518,33.2718704367136,29.4149814908641,33.2719267916476
9477,7.62463107251479,17.3287248915121,7.62462707937414,17.3286795950549
9585,11.0903630073764,22.1807177866169,11.0903628344091,22.1807493763953
9593,20.3368483035603,20.7944291483208,20.3368483035581,20.7944285050815
9620,17.2587514714262,26.9790430115977,17.2587913908583,26.9790430116431
