subject_id,AIC_onekonebeta,AIC_onektwobetamodel,AIC_twokonebetamodel,AIC_twoktwobetamodel
332,45.5826855135559,64.156417436133,47.582685791448,66.1564142361349
849,24.7944315907081,46.2025396718516,26.7944230540182,48.2026630928464
893,26.1807260147529,50.3614355732338,28.1807256688183,52.3614987527906
974,38.4611628354645,49.3670796745863,42.9388125144461,51.3670796745863
1019,67.5641009272279,57.9259214198745,44.856584612115,59.9259214198745
1083,56.9741930824547,65.4178548850842,60.1467524130203,67.4178548850842
1252,56.1228844008712,64.4642499517721,58.1228850409174,66.4642499472789
1423,26.1807259737335,48.9751276113402,28.1807131506876,50.9751385888391
1870,58.1150378109187,58.2186683177726,48.9373090497774,60.2186684465685
2411,39.4739733097004,49.1664889724827,41.4739733096943,51.1664896125074
2431,49.9751529650289,65.7870235124982,51.9059866696164,67.7870236404975
3103,40.6973982216735,60.0631058551436,40.468395441021,62.0631058551437
3178,44.7570013645716,58.9564217685756,46.7570013645626,60.956421768576
3210,41.0462430036143,61.2498167256418,43.0462436436134,63.2498167257152
3228,38.7087123905285,56.612617443628,40.7087123905284,58.6126174436113
3771,45.675537244551,58.5717948624636,47.6755380045548,60.5717916620884
3928,34.0069746091304,43.4299514963011,36.006974609115,45.4299656444122
4241,30.7373906990605,43.4299637493169,32.7373906990872,45.4301771289661
4625,62.8751676024144,65.6106588086625,65.6106583281486,67.610671887285
4961,33.7937227377029,51.4356742643158,35.793722741784,53.4356742643332
5096,26.1807260147529,50.3614355732338,28.1807256688183,52.3614987527906
5273,37.32249722888,55.2263226824807,39.3224173894124,57.2263230826701
5822,26.1807260147529,50.3614355732338,28.1807256688183,52.3614987527906
5835,19.2492541601565,40.6585123885087,21.2492381729836,42.6573728068037
6246,69.0952660247207,60.3969511300891,48.2917979930644,62.3969511300891
6324,52.6926055045794,63.6875082316274,49.6795252921119,65.6875082316273
6332,68.3084227616235,70.0016770592841,65.0456948325955,72.0016802272625
6469,47.141921326421,61.9027231440448,47.9045124561756,63.9027231440448
6707,23.4081210896248,46.202539675286,25.4081287696561,48.2025421981741
7047,19.249250580982,40.6574391118178,21.2492541680644,42.6573750471172
7107,47.9408842734636,61.6907233416627,49.9408846350582,63.6907227016617
7389,30.8889956188362,47.5888468262479,32.8889963788402,49.5888317736375
7512,22.0218275046583,42.0436694173948,24.0218275242063,44.043665586966
7875,23.4081372344578,47.5888468394404,25.4081218557798,49.5888459628439
7937,31.0071888302937,53.8400319213657,33.0071888303334,55.8400319213684
8228,66.3679554301088,72.294399586393,66.1943808509276,74.294399586393
8251,38.7337447375013,60.3427129297049,40.733745377576,62.3427129341101
8604,23.4081244518102,44.8162453097873,25.408127731048,46.8166480468865
8925,64.2049756030359,72.5437408734271,64.8299629817283,74.5438535832953
9477,19.2492621450296,40.6574497830242,21.2492541587483,42.6573591901097
9585,26.1807260147529,50.3614355732338,28.1807256688183,52.3614987527906
9593,44.6736966071206,47.5888582966416,46.6736966071163,49.588857010163
9620,38.5175029428524,59.9580860231955,40.5175827817166,61.9580860232862
