subject_id,k_self,k_other,beta_self,beta_other,k_self_2K1B,k_other_2K1B,beta_2K1B,AIC_onekonebeta,AIC_onektwobetamodel,AIC_twokonebetamodel,AIC_twoktwobetamodel,BIC_onekonebeta,BIC_onektwobetamodel,BIC_twokonebetamodel,BIC_twoktwobetamodel,NLL_onekonebeta,NLL_onektwobetamodel,NLL_twokonebetamodel,NLL_twoktwobetamodel
332,2.45680462287026e-08,0.247401761428105,0.839116944752972,1.31082456306667,1.62055576854648e-07,0.251210179290865,1.51360680906905,45.5826855135559,64.156417436133,47.582685791448,66.1564142361349,49.3250875353717,69.7700204688567,53.1962888241716,73.6412182797665,20.7913427567779,29.0782087180665,20.791342895724,29.0782071180674
849,1.05396139619e-07,0.253150024135691,12.6065858482137,6.49834236722233,1.76663803433362e-10,0.397104245587458,15.0616996606327,24.7944315907081,46.2025396718516,26.7944230540182,48.2026630928464,28.5368336125238,51.8161427045753,32.4080260867418,55.687467136478,10.397215795354,20.1012698359258,10.3972115270091,20.1013315464232
893,3.13980268168166e-08,0.248783897183758,42.0390778765826,21.7212850412431,1.38540965067006e-08,0.24952146274505,18.8717531752757,26.1807260147529,50.3614355732338,28.1807256688183,52.3614987527906,29.9231280365687,55.9750386059575,33.7943287015419,59.8463027964221,11.0903630073764,22.1807177866169,11.0903628344091,22.1807493763953
974,0.110585140251394,0.250014287499901,2.57024758709211,49.9962178855718,0.113428840416073,0.250314431172362,1.84772540430773,38.4611628354645,49.3670796745863,42.9388125144461,51.3670796745863,42.2035648572803,54.98068270731,48.5524155471698,58.8518837182179,17.2305814177322,21.6835398372931,18.4694062572231,21.6835398372932
1019,0.499999937306142,0.25161312800847,0.55532703559158,2.20786858812437,0.499999838631435,0.250094585763262,1.02527319361708,67.5641009272279,57.9259214198745,44.856584612115,59.9259214198745,71.3065029490436,63.5395244525981,50.4701876448387,67.4107254635061,31.7820504636139,25.9629607099372,19.4282923060575,25.9629607099372
1083,0.127512711384746,0.249941748491779,0.950313714692445,49.6018757272689,0.129609921180404,0.249997465797744,0.875298986943264,56.9741930824547,65.4178548850842,60.1467524130203,67.4178548850842,60.7165951042705,71.0314579178079,65.760355445744,74.9026589287158,26.4870965412274,29.7089274425421,27.0733762065102,29.7089274425421
1252,2.26130270978385e-08,0.255438141679975,0.827556878846345,1.12966388383928,2.28943596553317e-08,0.246338955764657,0.888578474343123,56.1228844008712,64.4642499517721,58.1228850409174,66.4642499472789,59.865286422687,70.0778529844958,63.7364880736411,73.9490539909105,26.0614422004356,29.232124975886,26.0614425204587,29.2321249736395
1423,6.12686999890087e-09,0.244193590317696,42.0408875289056,20.7067187711035,3.23261501728146e-09,0.381319884263679,19.0523121204748,26.1807259737335,48.9751276113402,28.1807131506876,50.9751385888391,29.9231279955493,54.5887306440639,33.7943161834113,58.4599426324706,11.0903629868667,21.4875638056701,11.0903565753438,21.4875692944195
1870,0.499999918784558,0.249960491287311,0.26843288923167,50.1977354811016,0.252648148628717,0.249691267658485,0.88309694577479,58.1150378109187,58.2186683177726,48.9373090497774,60.2186684465685,61.8574398327345,63.8322713504962,54.550912082501,67.7034724902001,27.0575189054594,26.1093341588863,21.4686545248887,26.1093342232843
2411,6.40857858277612e-09,0.24634867576492,1.93708257276892,2.01479598946319,7.36684128164906e-09,0.228375737809439,1.56262011894473,39.4739733097004,49.1664889724827,41.4739733096943,51.1664896125074,43.2163753315161,54.7800920052064,47.087576342418,58.6512936561389,17.7369866548502,21.5832444862413,17.7369866548471,21.5832448062537
2431,1.20456663833771e-08,0.250430317670799,0.540201756833296,50.013249389042,0.0131632710776519,0.250027786834117,1.16208922494881,49.9751529650289,65.7870235124982,51.9059866696164,67.7870236404975,53.7175549868447,71.4006265452219,57.51958970234,75.271827684129,22.9875764825144,29.8935117562491,22.9529933348082,29.8935118202487
3103,0.0463928073465604,0.249997915676072,1.52214576023981,50.0037250845689,0.0491337445252341,0.249311289512835,2.21592234636722,40.6973982216735,60.0631058551436,40.468395441021,62.0631058551437,44.4398002434893,65.6767088878673,46.0819984737446,69.5479098987753,18.3486991108367,27.0315529275718,17.2341977205105,27.0315529275719
3178,3.26467695388088e-08,0.141952025845218,1.58740157013366,0.20064362934709,6.5297233507041e-09,0.248528201648979,1.5874006539995,44.7570013645716,58.9564217685756,46.7570013645626,60.956421768576,48.4994033863874,64.5700248012993,52.3706043972863,68.4412258122076,20.3785006822858,26.4782108842878,20.3785006822813,26.478210884288
3210,4.04050382158264e-08,0.156641578635673,1.18684667815297,0.196211189295904,6.73634938094314e-09,0.249831528144135,1.79395645789696,41.0462430036143,61.2498167256418,43.0462436436134,63.2498167257152,44.78864502543,66.8634197583654,48.6598466763371,70.7346207693468,18.5231215018071,27.6249083628209,18.5231218218067,27.6249083628576
3228,5.79572716049222e-09,0.272525840167741,2.16997928557036,1.92381839800359,5.77918481900544e-09,0.25096767952907,2.18158239658946,38.7087123905285,56.612617443628,40.7087123905284,58.6126174436113,42.4511144123442,62.2262204763517,46.3223154232521,66.0974214872429,17.3543561952642,25.306308721814,17.3543561952642,25.3063087218057
3771,6.79599357548018e-09,0.151619372897327,1.51451615841828,0.299101497941994,6.75743588496603e-09,0.232901357427355,1.53284658114747,45.675537244551,58.5717948624636,47.6755380045548,60.5717916620884,49.4179392663668,64.1853978951873,53.2891410372785,68.05659570572,20.8377686222755,26.2858974312318,20.8377690022774,26.2858958310442
3928,1.80653815728763e-08,0.250034552965505,15.8160525686592,72.7947710290662,5.55434929251801e-09,0.233318943496463,2.04452179526741,34.0069746091304,43.4299514963011,36.006974609115,45.4299656444122,37.7493766309461,49.0435545290248,41.6205776418387,52.9147696880438,15.0034873045652,18.7149757481505,15.0034873045575,18.7149828222061
