subject_id,AIC_onekonebeta,AIC_onektwobetamodel,AIC_twokonebetamodel,AIC_twoktwobetamodel
155,42.6833939796043,62.9895751778207,44.6833939795633,64.9895718976662
332,45.5826855135559,64.156417436133,47.582685791448,66.1564142361349
548,24.7944186560601,47.5888947740219,26.7944186577512,49.5889108591594
849,24.7944315907081,46.2025396718516,26.7944230540182,48.2026630928464
893,26.1807260147529,50.3614355732338,28.1807256688183,52.3614987527906
974,38.4611628354645,49.3670796745863,42.9388125144461,51.3670796745863
1019,67.5641009272279,57.9259214198745,44.856584612115,59.9259214198745
1083,56.9741930824547,65.4178548850842,60.1467524130203,67.4178548850842
1126,32.4426432344317,52.3765396767301,34.4426432345095,54.3765396766733
1252,56.1228844008712,64.4642499517721,58.1228850409174,66.4642499472789
1363,60.4580887776232,62.3941721617723,62.458073577757,64.3941745640086
1423,26.1807259737335,48.9751276113402,28.1807131506876,50.9751385888391
1499,59.8597619325009,68.1465278618956,59.2708082903259,70.1465278618956
1867,68.4869723891774,71.1578624630555,71.155835132633,73.1573356050946
1870,58.1150378109187,58.2186683177726,48.9373090497774,60.2186684465685
2397,43.0970243557213,56.1202452374958,45.3761912544004,58.1202452374957
2411,39.4739733097004,49.1664889724827,41.4739733096943,51.1664896125074
2431,49.9751529650289,65.7870235124982,51.9059866696164,67.7870236404975
2690,49.8692627569091,65.3052355569766,49.2985877482212,67.3052355569765
2803,46.9311661275162,52.5933524979604,60.1817469780344,54.5933524990945
2854,26.1807260147529,50.3614355732338,28.1807256688183,52.3614987527906
2899,52.8806888390876,62.8396272556241,54.3996406880659,64.8392849349777
2959,54.6636648258759,65.3790946005917,54.8994698520832,67.3790949839224
2998,60.7387516763869,68.752258307211,54.8848985123678,70.7522583072111
3103,40.6973982216735,60.0631058551436,40.468395441021,62.0631058551437
3178,44.7570013645716,58.9564217685756,46.7570013645626,60.956421768576
3210,41.0462430036143,61.2498167256418,43.0462436436134,63.2498167257152
3228,38.7087123905285,56.612617443628,40.7087123905284,58.6126174436113
3472,26.1807259797115,48.9752072600132,28.1807130688725,50.9751842342479
3624,40.0108195824007,55.6848445294301,45.5487786227643,57.6848445294302
3771,45.675537244551,58.5717948624636,47.6755380045548,60.5717916620884
3928,34.0069746091304,43.4299514963011,36.006974609115,45.4299656444122
4164,50.4662088984128,43.4299637202828,52.4662088983854,45.4299664273979
4231,51.9587481092661,66.9498213961229,53.9587481092019,68.9498237960887
4241,30.7373906990605,43.4299637493169,32.7373906990872,45.4301771289661
4625,62.8751676024144,65.6106588086625,65.6106583281486,67.610671887285
4920,26.1807460671548,48.9751347690912,28.1807265087372,50.975141194485
4961,33.7937227377029,51.4356742643158,35.793722741784,53.4356742643332
5096,26.1807260147529,50.3614355732338,28.1807256688183,52.3614987527906
5113,68.9001967403019,53.617173561333,35.4296095769592,55.6171735613332
5156,37.3475302159133,58.9564185685757,39.3471054312953,60.9564179294131
5273,37.32249722888,55.2263226824807,39.3224173894124,57.2263230826701
5495,51.7303285126021,65.3993078728354,51.8602736461746,67.3993078728355
5654,59.8206203250967,61.5214323664131,46.8026595147119,63.5214323664131
5822,26.1807260147529,50.3614355732338,28.1807256688183,52.3614987527906
5835,19.2492541601565,40.6585123885087,21.2492381729836,42.6573728068037
5918,54.034964481634,52.5933517379666,49.6780956544233,54.5933556979291
6055,44.7570013645653,61.7682210437479,46.7570045645151,63.7682210422786
6121,26.1807259846122,50.3614493320595,28.1807170040674,52.3614222593897
6246,69.0952660247207,60.3969511300891,48.2917979930644,62.3969511300891
6324,52.6926055045794,63.6875082316274,49.6795252921119,65.6875082316273
6332,68.3084227616235,70.0016770592841,65.0456948325955,72.0016802272625
6335,38.7337453775227,60.3427161873303,40.7337453775742,62.3427129297545
6397,26.18072597599,48.9751259939114,28.1807259558605,50.9751411782258
6469,47.141921326421,61.9027231440448,47.9045124561756,63.9027231440448
6495,39.8582226259129,60.0365779425783,41.8581434273189,62.0365779345645
6604,26.1807260147529,50.3614355732338,28.1807256688183,52.3614987527906
6644,68.7667156114591,72.1273733651104,71.7279866186087,74.1273733651105
6707,23.4081210896248,46.202539675286,25.4081287696561,48.2025421981741
7047,19.249250580982,40.6574391118178,21.2492541680644,42.6573750471172
7107,47.9408842734636,61.6907233416627,49.9408846350582,63.6907227016617
7389,30.8889956188362,47.5888468262479,32.8889963788402,49.5888317736375
7512,22.0218275046583,42.0436694173948,24.0218275242063,44.043665586966
7656,64.9791160658816,62.0741344388924,51.4457345313197,64.0741376315164
7772,47.1608940405625,57.1854966609554,49.1608940328909,59.1854973009526
7803,69.3894024671249,69.8489120690243,70.8810586362795,71.8489120690244
7875,23.4081372344578,47.5888468394404,25.4081218557798,49.5888459628439
7927,24.794431614944,47.588846846146,26.7944187815958,49.589236815685
7937,31.0071888302937,53.8400319213657,33.0071888303334,55.8400319213684
8228,66.3679554301088,72.294399586393,66.1943808509276,74.294399586393
8251,38.7337447375013,60.3427129297049,40.733745377576,62.3427129341101
8604,23.4081244518102,44.8162453097873,25.408127731048,46.8166480468865
8704,42.3771322527913,60.8714272506316,42.5927216251964,62.8714272506315
8925,64.2049756030359,72.5437408734271,64.8299629817283,74.5438535832953
8949,58.5452522041645,66.86861163605,59.7725088758188,68.86861163605
8987,24.7944316152101,48.9751411946323,26.7944186705011,50.9751283626207
9045,37.1689925216157,57.8410267050194,36.8354980745211,59.8410267050194
9203,26.1807260147529,50.3614355732338,28.1807256688183,52.3614987527906
9350,26.1807260147529,50.3614355732338,28.1807256688183,52.3614987527906
9477,19.2492621450296,40.6574497830242,21.2492541587483,42.6573591901097
9585,26.1807260147529,50.3614355732338,28.1807256688183,52.3614987527906
9593,44.6736966071206,47.5888582966416,46.6736966071163,49.588857010163
9620,38.5175029428524,59.9580860231955,40.5175827817166,61.9580860232862
9779,56.1228850408694,67.1612962100189,57.546195206463,69.1612962100195
