Row,onekonebeta,onektwobetamodel,twokonebetamodel,twoktwobetamodel
sum_AIC,3565.2243396837,4745.39254381407,3582.77530528561,4913.39212841977
sum_BIC,3879.58610951623,5216.93519856285,4054.3179600344,5542.11566808483
sum_NLL,1614.61216984185,2120.69627190703,1539.38765264281,2120.69606420989
