subject_id,k_self,k_other,beta_self,beta_other,k_self_2K1B,k_other_2K1B,beta_2K1B,AIC_onekonebeta,AIC_onektwobetamodel,AIC_twokonebetamodel,AIC_twoktwobetamodel,BIC_onekonebeta,BIC_onektwobetamodel,BIC_twokonebetamodel,BIC_twoktwobetamodel,NLL_onekonebeta,NLL_onektwobetamodel,NLL_twokonebetamodel,NLL_twoktwobetamodel
155,1.42104939348131e-08,0.254549752226747,1.20457075528967,1.40677970873278,1.48505528664597e-08,0.255226181372608,1.81952091221541,42.6833939796043,62.9895751778207,44.6833939795633,64.9895718976662,46.4257960014201,68.6031782105443,50.2969970122869,72.4743759412977,19.3416969898021,28.4947875889103,19.3416969897816,28.4947859488331
332,2.45680462287026e-08,0.247401761428105,0.839116944752972,1.31082456306667,1.62055576854648e-07,0.251210179290865,1.51360680906905,45.5826855135559,64.156417436133,47.582685791448,66.1564142361349,49.3250875353717,69.7700204688567,53.1962888241716,73.6412182797665,20.7913427567779,29.0782087180665,20.791342895724,29.0782071180674
548,3.25573305914271e-08,0.249759554396803,41.6606623726757,22.9461885384119,2.65800939124612e-09,0.250052328935812,20.4028005240728,24.7944186560601,47.5888947740219,26.7944186577512,49.5889108591594,28.5368206778759,53.2024978067456,32.4080216904749,57.0737149027909,10.39720932803,20.794447387011,10.3972093288756,20.7944554295797
849,1.05396139619e-07,0.253150024135691,12.6065858482137,6.49834236722233,1.76663803433362e-10,0.397104245587458,15.0616996606327,24.7944315907081,46.2025396718516,26.7944230540182,48.2026630928464,28.5368336125238,51.8161427045753,32.4080260867418,55.687467136478,10.397215795354,20.1012698359258,10.3972115270091,20.1013315464232
893,3.13980268168166e-08,0.248783897183758,42.0390778765826,21.7212850412431,1.38540965067006e-08,0.24952146274505,18.8717531752757,26.1807260147529,50.3614355732338,28.1807256688183,52.3614987527906,29.9231280365687,55.9750386059575,33.7943287015419,59.8463027964221,11.0903630073764,22.1807177866169,11.0903628344091,22.1807493763953
974,0.110585140251394,0.250014287499901,2.57024758709211,49.9962178855718,0.113428840416073,0.250314431172362,1.84772540430773,38.4611628354645,49.3670796745863,42.9388125144461,51.3670796745863,42.2035648572803,54.98068270731,48.5524155471698,58.8518837182179,17.2305814177322,21.6835398372931,18.4694062572231,21.6835398372932
1019,0.499999937306142,0.25161312800847,0.55532703559158,2.20786858812437,0.499999838631435,0.250094585763262,1.02527319361708,67.5641009272279,57.9259214198745,44.856584612115,59.9259214198745,71.3065029490436,63.5395244525981,50.4701876448387,67.4107254635061,31.7820504636139,25.9629607099372,19.4282923060575,25.9629607099372
1083,0.127512711384746,0.249941748491779,0.950313714692445,49.6018757272689,0.129609921180404,0.249997465797744,0.875298986943264,56.9741930824547,65.4178548850842,60.1467524130203,67.4178548850842,60.7165951042705,71.0314579178079,65.760355445744,74.9026589287158,26.4870965412274,29.7089274425421,27.0733762065102,29.7089274425421
1126,1.04094359351463e-08,0.256882966772748,1.34621336193157,1.79161132125104,8.81143007703143e-09,0.254744830617538,2.02294757693953,32.4426432344317,52.3765396767301,34.4426432345095,54.3765396766733,36.1850452562475,57.9901427094537,40.0562462672331,61.8613437203049,14.2213216172159,23.188269838365,14.2213216172547,23.1882698383367
1252,2.26130270978385e-08,0.255438141679975,0.827556878846345,1.12966388383928,2.28943596553317e-08,0.246338955764657,0.888578474343123,56.1228844008712,64.4642499517721,58.1228850409174,66.4642499472789,59.865286422687,70.0778529844958,63.7364880736411,73.9490539909105,26.0614422004356,29.232124975886,26.0614425204587,29.2321249736395
1363,6.51090220421407e-07,0.253389214212127,0.841722822582322,48.2960368590506,7.5163271262071e-08,0.259218200420866,0.523670789889541,60.4580887776232,62.3941721617723,62.458073577757,64.3941745640086,64.200490799439,68.0077751944959,68.0716766104807,71.8789786076402,28.2290443888116,28.1970860808861,28.2290367888785,28.1970872820043
1423,6.12686999890087e-09,0.244193590317696,42.0408875289056,20.7067187711035,3.23261501728146e-09,0.381319884263679,19.0523121204748,26.1807259737335,48.9751276113402,28.1807131506876,50.9751385888391,29.9231279955493,54.5887306440639,33.7943161834113,58.4599426324706,11.0903629868667,21.4875638056701,11.0903565753438,21.4875692944195
1499,0.153298444620406,0.250983756231303,0.167412112389469,50.00797842782,0.0993691238072908,0.250205797816359,0.853783161764252,59.8597619325009,68.1465278618956,59.2708082903259,70.1465278618956,63.6021639543167,73.7601308946193,64.8844113230496,77.6313319055272,27.9298809662505,31.0732639309478,26.635404145163,31.0732639309478
1867,0.0534943710404513,0.340218046179867,0.00196901477249296,0.756503820025891,0.148183499028671,0.243328735678818,1.98150711380461e-08,68.4869723891774,71.1578624630555,71.155835132633,73.1573356050946,72.2293744109932,76.7714654957792,76.7694381653567,80.6421396487262,32.2434861945887,32.5789312315278,32.5779175663165,32.5786678025473
1870,0.499999918784558,0.249960491287311,0.26843288923167,50.1977354811016,0.252648148628717,0.249691267658485,0.88309694577479,58.1150378109187,58.2186683177726,48.9373090497774,60.2186684465685,61.8574398327345,63.8322713504962,54.550912082501,67.7034724902001,27.0575189054594,26.1093341588863,21.4686545248887,26.1093342232843
2397,0.156628768604587,0.249916065222246,1.97977400126435,49.9828753907426,0.162047121458376,0.249979202645679,1.72680369925047,43.0970243557213,56.1202452374958,45.3761912544004,58.1202452374957,46.8394263775371,61.7338482702195,50.989794287124,65.6050492811273,19.5485121778606,25.0601226187479,19.6880956272002,25.0601226187479
2411,6.40857858277612e-09,0.24634867576492,1.93708257276892,2.01479598946319,7.36684128164906e-09,0.228375737809439,1.56262011894473,39.4739733097004,49.1664889724827,41.4739733096943,51.1664896125074,43.2163753315161,54.7800920052064,47.087576342418,58.6512936561389,17.7369866548502,21.5832444862413,17.7369866548471,21.5832448062537
