subject_id,BIC_onekonebeta,BIC_onektwobetamodel,BIC_twokonebetamodel,BIC_twoktwobetamodel
155,46.4257960014201,68.6031782105443,50.2969970122869,72.4743759412977
332,49.3250875353717,69.7700204688567,53.1962888241716,73.6412182797665
548,28.5368206778759,53.2024978067456,32.4080216904749,57.0737149027909
849,28.5368336125238,51.8161427045753,32.4080260867418,55.687467136478
893,29.9231280365687,55.9750386059575,33.7943287015419,59.8463027964221
974,42.2035648572803,54.98068270731,48.5524155471698,58.8518837182179
1019,71.3065029490436,63.5395244525981,50.4701876448387,67.4107254635061
1083,60.7165951042705,71.0314579178079,65.760355445744,74.9026589287158
1126,36.1850452562475,57.9901427094537,40.0562462672331,61.8613437203049
1252,59.865286422687,70.0778529844958,63.7364880736411,73.9490539909105
1363,64.200490799439,68.0077751944959,68.0716766104807,71.8789786076402
1423,29.9231279955493,54.5887306440639,33.7943161834113,58.4599426324706
1499,63.6021639543167,73.7601308946193,64.8844113230496,77.6313319055272
1867,72.2293744109932,76.7714654957792,76.7694381653567,80.6421396487262
1870,61.8574398327345,63.8322713504962,54.550912082501,67.7034724902001
2397,46.8394263775371,61.7338482702195,50.989794287124,65.6050492811273
2411,43.2163753315161,54.7800920052064,47.087576342418,58.6512936561389
2431,53.7175549868447,71.4006265452219,57.51958970234,75.271827684129
2690,53.6116647787249,70.9188385897002,54.9121907809448,74.7900396006081
2803,50.673568149332,58.2069555306841,65.795350010758,62.0781565427261
2854,29.9231280365687,55.9750386059575,33.7943287015419,59.8463027964221
2899,56.6230908609034,68.4532302883478,60.0132437207896,72.3240889786093
2959,58.4060668476917,70.9926976333154,60.5130728848069,74.863899027554
2998,64.4811536982027,74.3658613399347,60.4985015450914,78.2370623508426
3103,44.4398002434893,65.6767088878673,46.0819984737446,69.5479098987753
3178,48.4994033863874,64.5700248012993,52.3706043972863,68.4412258122076
3210,44.78864502543,66.8634197583654,48.6598466763371,70.7346207693468
3228,42.4511144123442,62.2262204763517,46.3223154232521,66.0974214872429
3472,29.9231280015273,54.5888102927369,33.7943161015962,58.4599882778794
3624,43.7532216042164,61.2984475621538,51.162381655488,65.1696485730617
3771,49.4179392663668,64.1853978951873,53.2891410372785,68.05659570572
3928,37.7493766309461,49.0435545290248,41.6205776418387,52.9147696880438
4164,54.2086109202286,49.0435667530064,58.079811931109,52.9147704710294
4231,55.7011501310819,72.5634244288466,59.5723511419256,76.4346278397203
4241,34.4797927208763,49.0435667820405,38.3509937318108,52.9149811725976
4625,66.6175696242302,71.2242618413862,71.2242613608722,75.0954759309166
4920,29.9231480889706,54.5887378018149,33.7943295414609,58.4599452381166
4961,37.5361247595187,57.0492772970395,41.4073257745077,60.9204783079647
5096,29.9231280365687,55.9750386059575,33.7943287015419,59.8463027964221
5113,72.6425987621177,59.2307765940567,41.0432126096829,63.1019776049647
5156,41.089932237729,64.5700216012994,44.9607084640189,68.4412219730446
5273,41.0648992506958,60.8399257152044,44.9360204221361,64.7111271263017
5495,55.4727305344178,71.0129109055591,57.4738766788983,74.884111916467
5654,63.5630223469125,67.1350353991368,52.4162625474355,71.0062364100447
5822,29.9231280365687,55.9750386059575,33.7943287015419,59.8463027964221
5835,22.9916561819722,46.2721154212324,26.8628412057073,50.1421768504352
5918,57.7773665034497,58.2069547706903,55.291698687147,62.0781597415607
6055,48.4994033863811,67.3818240764716,52.3706075972388,71.2530250859102
6121,29.923128006428,55.9750523647832,33.7943200367911,59.8462263030213
6246,72.8376680465365,66.0105541628128,53.9054010257881,69.8817551737206
6324,56.4350075263951,69.3011112643511,55.2931283248356,73.1723122752588
6332,72.0508247834393,75.6152800920078,70.6592978653191,79.486484270894
6335,42.4761473993385,65.956319220054,46.3473484102979,69.827516973386
6397,29.9231279978057,54.588729026635,33.7943289885842,58.4599452218573
6469,50.8843233482368,67.5163261767685,53.5181154888992,71.3875271876764
6495,43.6006246477287,65.650180975302,47.4717464600425,69.521381978196
6604,29.9231280365687,55.9750386059575,33.7943287015419,59.8463027964221
6644,72.5091176332749,77.740976397834,77.3415896513324,81.612177408742
6707,27.1505231114406,51.8161427080097,31.0217318023798,55.6873462418057
7047,22.9916526027978,46.2710421445415,26.862857200788,50.1421790907488
7107,51.6832862952794,67.3043263743864,55.5544876677818,71.1755267452933
7389,34.631397640652,53.2024498589716,38.5025994115638,57.0736358172691
7512,25.7642295264741,47.6572724501184,29.63543055693,51.5284696305975
7656,68.7215180876973,67.6877374716161,57.0593375640434,71.5589416751479
7772,50.9032960623783,62.7990996936791,54.7744970656146,66.6703013445842
7803,73.1318044889406,75.4625151017479,76.4946616690032,79.333716112656
7875,27.1505392562736,53.2024498721641,31.0217248885034,57.0736500064754
7927,28.5368336367598,53.2024498788697,32.4080218143194,57.0740408593165
7937,34.7495908521094,59.4536349540894,38.6207918630571,63.324835965
8228,70.1103574519246,77.9080026191167,71.8079838836513,81.7792036300246
